SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-24-2020,Single Family Residential,730 Senca Ct,Danville,CA,94526,949000,3,2,Diablo West,1624,4488,1976,9,584,92,Sold,,,http://www.redfin.com/CA/Danville/730-Senca-Ct-94526/home/972199,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40925704,N,Y,37.8167661,-121.9859223
PAST SALE,October-22-2020,Single Family Residential,220 Piedmont Ln,Danville,CA,94526,3150000,6,7,El Pintado,6007,80804,1999,42,524,,Sold,,,http://www.redfin.com/CA/Danville/220-Piedmont-Ln-94526/home/1739666,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40914765,N,Y,37.8433456,-121.9994264
PAST SALE,September-23-2020,Single Family Residential,61 Emerald Dr,Danville,CA,94526,2150000,5,2.5,Westside,2841,15000,1963,71,757,,Sold,,,http://www.redfin.com/CA/Danville/61-Emerald-Dr-94526/home/1348194,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40917906,N,Y,37.8265593,-122.0147053
PAST SALE,July-9-2020,Townhouse,2206 Myrtle Beach Ln,Danville,CA,94526-6216,960000,3,2,Crow Canyon C.C.,1539,3990,1978,147,624,453,Sold,,,http://www.redfin.com/CA/Danville/2206-Myrtle-Beach-Ln-94526/home/1878668,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40902971,N,Y,37.786761,-121.954182
PAST SALE,October-5-2020,Single Family Residential,185 Monte Carlo Way,Danville,CA,94506-4688,1362000,4,3,Northridge,2407,6000,1990,59,566,88,Sold,,,http://www.redfin.com/CA/Danville/185-Monte-Carlo-Way-94506/home/1218798,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40917459,N,Y,37.8018416,-121.9288893
PAST SALE,July-15-2020,Townhouse,63 Heather Garden Ln,Danville,CA,94506,855000,3,2.5,Heritage Park,1992,3240,1993,141,429,310,Sold,,,http://www.redfin.com/CA/Danville/63-Heather-Garden-Ln-94506/home/1049489,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40912395,N,Y,37.7954719,-121.922929
PAST SALE,July-20-2020,Single Family Residential,119 Julia Loop,Danville,CA,94506,1517000,3,4.5,Danville,2954,5417,2020,136,514,170,Sold,,,http://www.redfin.com/CA/Danville/119-Julia-Loop-94506/home/168815999,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40904038,N,Y,37.8032564,-121.9275753
PAST SALE,October-30-2020,Single Family Residential,4041 Sugar Maple Dr,Danville,CA,94506,1700000,4,3,Blackhawk C. C.,3054,13287,1989,34,557,187,Sold,,,http://www.redfin.com/CA/Danville/4041-Sugar-Maple-Dr-94506/home/1950040,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40923401,N,Y,37.8068782,-121.9204884
PAST SALE,,Single Family Residential,2545 Holly Oak Dr,Danville,CA,94506,1370000,3,3,,3235,20800,1979,,423,,,,,http://www.redfin.com/CA/Danville/2545-Holly-Oak-Dr-94506/home/922896,,,N,Y,37.8305747,-121.9390005
PAST SALE,June-19-2020,Single Family Residential,65 Headland Ct,Danville,CA,94506,1845000,4,3.5,Wood Ranch,3326,31500,1992,167,555,87,Sold,,,http://www.redfin.com/CA/Danville/65-Headland-Ct-94506/home/1366520,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40902472,N,Y,37.7980574,-121.9294893
