Rank,Median Household Income,Zip , Population
774,59125,90024 ,"50,117"
774,59125,93602 ,"4,207"
776,59099,91103 ,"27,684"
777,59056,95367 ,"24,045"
778,59028,95615 ,"1,090"
779,58993,91324 ,"29,178"
780,58913,95959 ,"17,013"
781,58889,96096 ,814
782,58854,93226 ,363
783,58853,92832 ,"25,247"
784,58810,95470 ,"6,874"
785,58659,94595 ,"16,837"
786,58643,94567 ,730
787,58613,94703 ,"21,421"
788,58517,95694 ,"9,574"
789,58500,92706 ,"36,585"
789,58500,95232 ,217
791,58438,95957 ,773
792,58381,93631 ,"16,844"
793,58365,91101 ,"21,098"
794,58363,94559 ,"27,062"
795,58361,91304 ,"53,517"
796,58353,91906 ,"3,644"
797,58289,95421 ,"1,537"
798,58272,95818 ,"20,135"
799,58262,92582 ,"16,200"
800,58191,95329 ,"2,654"
801,58012,93238 ,"1,575"
802,57969,95975 ,"2,072"
803,57917,96014 ,152
804,57895,94541 ,"62,738"
805,57883,91325 ,"32,823"
806,57860,93030 ,"61,215"
807,57789,91744 ,"87,096"
808,57731,93505 ,"13,232"
809,57708,92627 ,"60,806"
810,57670,93920 ,839
811,57664,95627 ,"3,498"
812,57654,91321 ,"34,576"
813,57652,95361 ,"32,544"
814,57640,91042 ,"28,126"
815,57639,95970 ,482
816,57610,94605 ,"43,168"
817,57588,93543 ,"13,578"
818,57557,92211 ,"24,564"
819,57484,94928 ,"42,668"
820,57470,95122 ,"57,564"
821,57400,95425 ,"10,699"
822,57333,92831 ,"35,316"
823,57287,92114 ,"69,305"
824,57286,92509 ,"78,221"
825,57241,93402 ,"14,880"
826,57223,92028 ,"48,335"
827,57212,96141 ,669
828,57124,92307 ,"38,204"
829,57095,90242 ,"43,199"
830,57052,92504 ,"53,960"
831,57047,95111 ,"60,907"
832,57038,92707 ,"63,595"
833,57014,93426 ,"1,522"
834,56973,94533 ,"70,634"
835,56923,95956 ,459
836,56885,95336 ,"46,433"
837,56875,93560 ,"19,189"
