property_type,zipcode,price,beds,baths,sqft,lot_size,days_on_market,price_per_sqft,hoa_month,property_age,school_rating,school_count,median_income,hotness_score,supply_score,demand_score,university_count,barts,malls,universities,bedBath,AvgRoomSize
2,94566,730000,2,2,1287,1151,151,567,544.0,32,8,9,126782,80.07,79.57,80.57,0,0,1,0,4,321.75
0,94566,934000,3,2,1104,6912,121,846,0.0,56,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,220.8
0,94566,1280000,4,2,1675,8362,57,764,0.0,57,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,279.167
0,94566,1178000,3,2,1730,8240,91,681,0.0,54,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,346.0
0,94566,1504332,3,2,1878,7500,176,801,0.0,70,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,375.6
0,94566,1025000,3,2,1813,8184,92,565,0.0,50,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,362.6
0,94566,1110000,3,2,1777,6370,134,625,0.0,66,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,355.4
1,94566,406500,1,1,600,0,45,678,494.0,62,8,9,126782,80.07,79.57,80.57,0,0,1,0,1,300.0
0,94566,1610000,4,4,3059,9855,39,526,0.0,50,8,9,126782,80.07,79.57,80.57,0,0,1,0,16,382.375
0,94588,1688000,4,3,2541,7879,43,664,0.0,32,9,6,134451,85.91,87.06,84.76,0,1,1,0,12,363.0
0,94588,1250000,4,3,2440,6957,84,512,31.0,53,9,6,134451,85.91,87.06,84.76,0,1,1,0,12,348.571
0,94566,810000,3,3,1755,2018,95,462,0.0,5,8,9,126782,80.07,79.57,80.57,0,0,1,0,9,292.5
2,94566,725000,2,2,1221,1237,102,594,379.0,35,8,9,126782,80.07,79.57,80.57,0,0,1,0,4,305.25
2,94566,619000,2,2,860,1823,94,720,350.0,35,8,9,126782,80.07,79.57,80.57,0,0,1,0,4,215.0
2,94588,830000,3,2,1503,1184,92,552,239.0,24,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,300.6
0,94588,885000,2,2,1314,4678,64,674,0.0,32,9,6,134451,85.91,87.06,84.76,0,1,1,0,4,328.5
0,94566,850000,2,1,869,3056,21,978,0.0,28,8,9,126782,80.07,79.57,80.57,0,0,1,0,2,289.667
2,94566,850000,3,2,1456,1730,32,584,319.0,33,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,291.2
0,94566,1520000,4,2,2235,7946,17,680,0.0,53,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,372.5
0,94566,899000,3,2,1075,3700,17,836,110.0,27,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,215.0
0,94566,1217000,3,2,1673,6915,21,727,0.0,52,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,334.6
0,94588,1120000,4,2,2330,4744,16,481,215.0,28,9,6,134451,85.91,87.06,84.76,0,1,1,0,8,388.333
0,94588,1080000,3,2,1504,4017,17,718,167.0,28,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,300.8
0,94586,700000,2,1,1080,6006,25,648,40.0,43,10,1,89505,82.0071573604059,87.33157475773004,76.68402976465252,0,0,0,0,2,360.0
0,94566,1200000,5,3,2220,7244,150,541,0.0,53,8,9,126782,80.07,79.57,80.57,0,0,1,0,15,277.5
0,94566,1000000,4,2,2109,8400,95,474,0.0,53,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,351.5
0,94566,1192000,4,2,1877,6825,171,635,0.0,52,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,312.833
0,94566,1079000,3,2,1359,5410,133,794,0.0,78,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,271.8
0,94566,1215000,4,3,1825,15000,109,666,0.0,56,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,260.714
0,94566,1325000,3,2,1885,11731,66,703,0.0,53,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,377.0
0,94566,1885000,3,2,1600,5760,112,1178,0.0,53,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,320.0
